iter	Passed	Remaining
989	51762	522
990	51815	470
991	51867	418
992	51921	366
993	51973	313
994	52026	261
995	52078	209
996	52132	156
997	52188	104
998	52239	52
999	52291	0
